term	warmth	competence	sociability	trust
a couple	0.952	0.090	0.952	0.528
a further	0.083	-0.122	0.000	0.083
a goner	-0.625	-0.354	-0.625	-0.528
a good	0.810	0.388	0.810	0.222
a kickback	-0.848	-0.142	0.333	-0.848
a mere	0.000	-0.066	0.000	0.000
a no-brainer	0.633	-0.234	0.619	0.633
a peach	0.944	-0.138	0.944	0.200
a pleasure	0.963	0.068	0.963	0.222
a plus	0.444	0.130	0.444	0.273
a sec	0.286	-0.366	0.286	-0.091
a shame	-0.630	-0.180	-0.630	0.000
a smokescreen	-0.583	-0.404	-0.583	-0.583
a sport	0.833	0.142	0.833	0.042
a student	0.857	0.064	0.857	0.600
a treat	1.000	0.124	1.000	0.182
about face	-0.444	0.034	-0.292	-0.444
about time	0.222	-0.062	0.222	0.152
above all	0.611	0.206	0.167	0.611
above water	0.182	0.034	0.111	0.182
absolutely not	-0.619	-0.300	-0.619	-0.067
academic freedom	0.792	0.200	0.708	0.792
academic year	0.167	0.290	0.048	0.167
academy award	0.917	0.556	0.917	0.606
academy awards	0.762	0.500	0.762	0.606
according to	0.500	0.112	0.111	0.500
accounts receivable	-0.286	0.354	-0.286	0.083
accused of	-0.667	-0.276	-0.667	-0.636
achieve success	0.857	0.750	0.857	0.758
achilles heel	-0.250	-0.206	-0.222	-0.250
acid rain	-0.619	-0.334	-0.619	-0.238
across from	0.061	-0.060	0.037	0.061
act out	-0.458	-0.088	-0.458	-0.424
acting out	-0.633	-0.300	-0.417	-0.633
action movie	0.000	0.108	0.000	0.000
ad hominem	-0.815	-0.034	-0.714	-0.815
ad nauseam	-0.417	-0.034	-0.417	-0.222
add on	0.148	0.034	0.148	0.000
add up	0.625	-0.134	0.625	0.567
addams family	-0.519	0.124	-0.519	0.056
added value	0.833	0.516	0.833	0.636
adjacent to	0.167	-0.068	0.000	0.167
advance poll	0.606	0.270	0.208	0.606
advent calendar	0.542	0.250	0.542	0.111
affirmative action	0.667	0.108	0.667	0.267
after hours	0.167	0.028	0.167	-0.030
after party	0.963	-0.066	0.963	-0.061
afternoon tea	0.889	-0.142	0.889	0.212
age gap	0.083	-0.178	0.083	0.037
agent orange	-1.000	-0.040	-1.000	-0.750
agree on	0.875	0.488	0.875	0.792
agree to	0.952	0.178	0.952	0.606
agree with	1.000	0.148	1.000	0.722
agreed upon	0.818	0.154	0.722	0.818
aim at	0.061	0.250	0.000	0.061
aim for	0.458	0.142	0.458	0.208
air conditioned	-0.619	0.172	-0.619	0.042
air conditioning	0.583	0.364	-0.333	0.583
air drop	0.000	-0.068	0.000	0.000
air duct	-0.333	0.000	-0.333	0.167
air flow	0.121	0.000	0.042	0.121
air freshener	0.333	0.322	0.333	0.167
air horn	-0.458	0.222	-0.458	0.067
air pollution	-0.875	-0.032	-0.875	-0.182
air raid	-0.833	0.000	-0.833	-0.528
air show	0.250	0.000	0.208	0.250
air time	0.381	-0.034	0.381	0.000
air traffic	0.515	0.000	0.000	0.515
alcohol poisoning	-0.815	-0.432	-0.815	-0.636
alive with	0.852	0.354	0.852	0.139
all about	0.857	-0.038	0.857	0.030
all around	0.762	0.100	0.762	0.083
all better	0.917	0.366	0.917	0.167
all but	0.000	-0.334	0.000	0.000
all clear	0.861	-0.100	0.762	0.861
all correct	0.792	0.420	0.792	0.600
all downhill	-0.625	-0.344	-0.625	-0.267
all eyes	0.481	0.108	0.481	0.103
all fours	0.000	-0.160	0.000	0.000
all important	0.545	0.490	0.250	0.545
all inclusive	0.917	0.176	0.917	0.639
all nations	0.833	0.166	0.833	0.133
all right	0.815	0.112	0.815	0.606
all round	0.583	0.214	0.571	0.583
all set	0.810	0.166	0.810	0.583
all together	0.958	0.234	0.958	0.600
all too	0.121	-0.138	0.000	0.121
all wet	-0.481	-0.100	-0.278	-0.481
all-star game	0.875	0.344	0.875	0.182
allergic reaction	-0.333	-0.518	-0.333	-0.030
allow for	0.636	0.178	0.583	0.636
allow in	0.889	0.034	0.889	0.042
almond milk	0.167	-0.162	0.167	0.056
aloe vera	0.625	0.206	0.625	0.282
alpha male	0.190	0.104	0.190	0.182
aluminum foil	0.111	0.034	-0.048	0.111
amateur hour	-0.542	-0.142	-0.542	-0.485
amber alert	0.576	0.086	0.000	0.576
ambient music	0.292	-0.034	0.292	0.233
american dream	0.667	0.166	0.667	0.296
american express	0.852	0.370	0.000	0.852
american flag	0.619	0.438	0.619	0.593
american football	0.708	0.466	0.708	0.167
american revolution	0.625	0.464	0.625	0.370
american thanksgiving	1.000	0.448	1.000	0.533
american way	0.389	0.322	0.389	0.121
amount to	0.100	0.214	0.000	0.100
amusement park	0.875	0.388	0.875	0.091
anal sex	-0.333	-0.276	-0.333	-0.133
ancient egypt	0.091	-0.184	0.000	0.091
and crap	-0.727	-0.186	-0.619	-0.727
and everything	0.185	0.100	0.185	0.067
anger management	0.636	0.000	0.208	0.636
angry mob	-0.778	-0.072	-0.778	-0.667
animal kingdom	0.444	0.434	0.444	0.139
animal lover	0.917	0.134	0.917	0.583
animal rights	1.000	0.134	1.000	0.667
animated series	0.571	0.130	0.571	0.033
anime series	0.556	0.052	0.556	0.061
annual report	0.875	0.070	0.000	0.875
answer for	0.091	-0.104	0.000	0.091
anxiety attack	-0.667	-0.500	-0.667	-0.267
anxiety disorder	-0.381	-0.612	-0.381	-0.152
any old	0.056	-0.452	0.056	-0.030
anything but	-0.152	-0.322	-0.067	-0.152
anytime soon	0.190	-0.166	0.190	0.000
anywhere else	0.048	0.000	0.048	0.042
apart from	-0.250	-0.134	-0.250	0.033
apartment building	0.242	0.334	-0.083	0.242
apple cider	0.889	-0.074	0.889	0.121
apple juice	0.778	-0.222	0.778	0.700
apple pie	0.963	0.034	0.963	0.639
apple tree	0.625	0.048	0.625	0.074
apply for	0.250	-0.096	0.238	0.250
april fool	-0.545	-0.656	0.458	-0.545
argue over	-0.500	-0.096	-0.500	-0.303
argue with	-0.667	-0.100	-0.667	-0.250
arm up	0.238	-0.104	0.238	-0.091
armed robbery	-1.000	-0.162	-1.000	-1.000
arrest warrant	-0.750	-0.300	-0.750	0.611
arrested development	-0.667	0.064	-0.667	-0.333
art book	0.458	0.172	0.458	0.074
art class	0.778	0.334	0.778	0.111
art director	0.500	0.166	0.500	0.333
art gallery	0.333	0.286	0.333	0.333
art history	0.667	0.286	0.667	0.139
art museum	0.667	0.400	0.625	0.667
art school	0.542	0.178	0.542	0.133
art teacher	0.762	0.104	0.762	0.583
as for	-0.030	-0.076	0.000	-0.030
as from	-0.125	-0.112	-0.125	0.000
as if	-0.238	-0.376	-0.238	0.000
as is	0.030	-0.192	0.000	0.030
as per	0.444	-0.242	-0.048	0.444
as possible	0.273	0.162	0.000	0.273
as though	0.030	0.000	0.000	0.030
as well	0.519	0.166	0.519	0.152
ash tray	-0.476	-0.344	-0.476	0.000
aside from	0.190	-0.034	0.190	-0.033
assault rifle	-1.000	-0.050	-1.000	-0.818
assistant director	0.533	0.500	0.333	0.533
asthma attack	-0.407	-0.290	-0.407	-0.121
at bay	-0.292	0.000	-0.292	0.028
at best	-0.152	0.258	0.065	-0.152
at bottom	-0.333	-0.400	-0.333	-0.091
at fault	-0.600	-0.642	-0.444	-0.600
at gunpoint	-0.958	-0.194	-0.958	-0.778
at heart	0.952	0.034	0.952	0.576
at home	1.000	0.194	1.000	0.212
at issue	-0.083	-0.414	-0.083	-0.033
at large	-0.091	0.482	-0.048	-0.091
at least	0.515	-0.296	0.125	0.515
at liberty	0.810	0.400	0.810	0.167
at odds	-0.667	-0.230	-0.667	-0.533
at peace	1.000	-0.108	1.000	0.833
at present	0.111	0.300	0.048	0.111
at random	0.056	-0.186	0.056	-0.028
at risk	-0.333	-0.308	-0.333	-0.139
at school	0.889	0.068	0.889	0.121
at stake	0.242	-0.250	-0.095	0.242
at that	-0.037	-0.034	-0.037	0.000
at times	0.000	0.096	0.000	0.000
at will	0.139	0.108	0.000	0.139
at work	0.500	0.286	0.500	0.100
at worst	-0.500	-0.344	-0.500	0.030
atomic bomb	-0.952	0.094	-0.952	0.000
atta girl	1.000	-0.032	1.000	0.167
attend to	0.952	0.036	0.952	0.556
attention span	0.222	-0.038	0.222	0.074
attention whore	-0.762	-0.072	-0.762	-0.750
audio book	0.375	0.266	0.375	0.212
away from	-0.571	-0.266	-0.571	0.000
awe inspiring	0.875	0.428	0.875	0.367
awesome sauce	1.000	0.580	1.000	0.100
baby bird	0.917	-0.872	0.917	0.222
baby boy	0.952	-0.850	0.952	0.133
baby clothes	0.952	-0.130	0.952	0.467
baby face	0.875	-0.266	0.875	0.667
baby food	0.958	-0.174	0.958	0.576
baby girl	1.000	-1.000	1.000	0.139
baby goat	1.000	-0.904	1.000	0.148
baby pictures	1.000	-0.032	1.000	0.630
baby powder	0.630	0.124	0.630	0.185
baby shoes	0.952	-0.206	0.952	0.185
baby shower	0.926	-0.072	0.926	0.467
baby sitter	0.952	-0.108	0.952	0.639
baby sitting	1.000	-0.358	1.000	0.576
baby talk	1.000	-0.300	1.000	0.000
baby teeth	0.519	-0.166	0.519	0.000
bachelor's degree	0.515	0.448	0.125	0.515
bachelorette party	1.000	0.000	1.000	0.033
back alley	-0.778	-0.234	-0.619	-0.778
back away	-0.429	-0.414	-0.429	-0.037
back burner	-0.333	-0.322	-0.333	0.000
back door	-0.619	-0.188	-0.619	-0.389
back down	-0.417	-0.634	-0.417	-0.074
back end	-0.458	-0.194	-0.458	0.000
back of	-0.333	-0.310	-0.333	-0.061
back onto	-0.042	-0.194	-0.042	0.000
back order	-0.370	-0.148	-0.370	-0.111
back out	-0.583	-0.206	-0.467	-0.583
back pain	0.000	-0.548	0.000	0.000
back room	-0.500	-0.234	-0.500	-0.200
backed up	0.533	-0.194	0.042	0.533
background music	0.333	0.344	0.333	0.091
background noise	-0.083	-0.296	-0.083	-0.033
bad apple	-0.818	-0.608	-0.667	-0.818
bad behavior	-0.970	-0.254	-0.815	-0.970
bad blood	-0.833	-0.454	-0.833	-0.600
bad boy	-0.606	-0.482	-0.333	-0.606
bad breath	-0.667	-0.434	-0.667	-0.185
bad day	-0.625	-0.828	-0.625	-0.194
bad example	-0.636	-0.586	-0.619	-0.636
bad faith	-0.944	-0.518	-0.750	-0.944
bad feeling	-0.458	-0.580	-0.458	-0.375
bad form	-0.625	-0.344	-0.625	-0.567
bad guy	-0.967	-0.226	-0.917	-0.967
bad guys	-0.889	-0.310	-0.762	-0.889
bad habit	-0.667	-0.534	-0.667	-0.611
bad ideas	-0.636	-0.558	-0.619	-0.636
bad joke	-0.519	-0.616	-0.519	-0.394
bad light	-0.667	-0.612	-0.556	-0.667
bad luck	-0.458	-0.572	-0.458	-0.111
bad name	-0.818	-0.236	-0.667	-0.818
bad news	-0.667	-0.600	-0.667	-0.500
bad person	-1.000	-0.566	-0.905	-1.000
bad shape	-0.630	-0.678	-0.630	-0.167
bad thing	-0.667	-0.548	-0.667	-0.576
bad time	-0.667	-0.620	-0.667	-0.333
bad times	-0.542	-0.620	-0.542	-0.250
bad weather	-0.667	-0.482	-0.667	-0.030
bag up	0.030	-0.100	0.000	0.030
bail out	-0.400	-0.166	0.389	-0.400
baked goods	0.917	0.194	0.917	0.185
balanced budget	0.722	0.096	0.000	0.722
balanced diet	0.833	-0.074	0.833	0.121
bald spot	-0.238	-0.260	-0.238	0.000
ball park	0.542	-0.266	0.542	0.074
ballot box	0.630	0.194	0.167	0.630
banana bread	0.952	0.000	0.952	0.167
banana peel	0.143	0.066	0.143	-0.030
banana pudding	0.917	-0.034	0.917	0.033
band aid	0.762	-0.276	0.762	0.242
band together	0.958	0.130	0.958	0.545
bang out	-0.111	-0.142	-0.111	-0.033
bang up	-0.400	0.000	0.167	-0.400
banged up	-0.667	-0.206	-0.667	-0.485
bank account	0.583	0.400	0.000	0.583
bank balance	0.154	0.310	0.000	0.154
bank card	0.639	0.138	0.000	0.639
barbed wire	-0.905	0.000	-0.905	-0.167
barbie doll	0.400	-0.170	0.400	0.033
bare bones	-0.458	-0.270	-0.458	0.083
barn burner	0.333	0.000	0.333	0.000
barn door	0.000	0.134	0.000	0.000
baseball bat	0.030	0.106	0.000	0.030
baseball field	0.708	0.310	0.708	0.121
baseball game	0.889	0.408	0.889	0.091
baseball player	0.389	0.234	0.389	0.152
baseball team	0.952	0.428	0.952	0.152
bases loaded	0.238	0.194	0.238	0.000
bask in	0.917	-0.108	0.917	0.091
basketball coach	0.958	0.242	0.958	0.700
basketball court	0.952	0.366	0.952	0.000
basketball player	0.625	0.354	0.625	0.000
basketball season	0.750	0.448	0.750	0.000
basketball team	1.000	0.678	1.000	0.182
bass guitar	0.190	-0.173	0.190	0.091
bated breath	0.556	-0.222	0.556	0.000
bath water	0.333	-0.138	0.333	0.061
bathroom break	0.185	-0.334	0.185	0.091
bathroom stall	-0.167	-0.134	-0.167	-0.143
bb gun	-0.667	0.148	-0.667	-0.030
be able	0.267	0.068	0.267	0.100
be active	1.000	0.392	1.000	0.133
be afraid	-0.583	-0.646	-0.583	-0.303
be after	-0.182	-0.284	0.111	-0.182
be around	1.000	-0.322	1.000	0.033
be away	-0.292	-0.368	-0.292	0.030
be down	-0.259	-0.448	-0.259	-0.100
be here	0.875	0.156	0.875	0.125
be off	-0.333	-0.088	-0.333	-0.121
be out	-0.222	-0.342	-0.222	0.000
be prepared	0.667	0.392	0.375	0.667
be sacked	-0.625	-0.500	-0.593	-0.625
be sick	-0.250	-0.466	-0.250	0.000
be together	1.000	0.266	1.000	0.818
be well	0.905	-0.050	0.905	0.545
be yourself	1.000	0.276	1.000	0.967
beach ball	1.000	-0.108	1.000	0.033
beach house	0.875	0.000	0.875	0.152
beach volleyball	1.000	0.300	1.000	0.167
bear arms	0.167	0.214	0.000	0.167
bear market	-0.429	0.138	-0.429	-0.056
bear on	0.375	-0.172	-0.042	0.375
bear with	0.857	-0.344	0.857	0.222
beat down	-0.625	-0.104	-0.625	-0.200
beat in	-0.375	-0.064	-0.375	-0.182
beat it	-0.708	-0.072	-0.708	-0.182
beat off	-0.727	-0.312	-0.704	-0.727
beat on	-0.667	0.434	-0.667	-0.515
beat out	-0.222	0.142	-0.222	-0.037
beat up	-0.667	0.200	-0.667	-0.606
beaten up	-0.583	-0.250	-0.583	-0.267
beats me	-0.048	-0.272	-0.048	0.033
beauty queen	0.704	0.466	0.704	-0.037
beauty sleep	0.556	-0.194	0.556	0.133
bed bath	0.500	-0.310	0.500	0.000
bed bugs	-0.875	-0.222	-0.875	-0.185
bed rest	0.381	-0.344	0.381	0.091
beef jerky	0.091	-0.206	0.000	0.091
beef patty	0.143	-0.072	0.143	0.067
been had	-0.750	-0.266	-0.500	-0.750
beer belly	-0.375	-0.296	-0.375	-0.037
beer bottle	0.292	-0.096	0.292	-0.030
beer can	0.292	-0.138	0.292	0.033
beer garden	0.963	-0.160	0.963	0.121
behind bars	-0.788	-0.096	-0.722	-0.788
belief system	0.708	0.500	0.708	0.606
believe in	0.917	0.200	0.917	0.636
believe me	0.625	-0.068	0.625	0.576
belly laugh	1.000	-0.156	1.000	0.121
belly up	-0.233	-0.214	-0.190	-0.233
belong together	0.952	0.072	0.952	0.606
belong with	0.952	0.000	0.952	0.333
below average	-0.481	-0.674	-0.481	-0.152
below zero	-0.852	-0.378	-0.852	-0.083
bench press	0.250	0.108	0.250	0.000
bend down	0.370	-0.074	0.370	0.030
bend over	-0.567	-0.354	-0.222	-0.567
bent on	-0.394	-0.242	-0.375	-0.394
bermuda triangle	-0.296	0.096	-0.238	-0.296
best bet	0.576	0.194	0.476	0.576
best boy	0.917	0.138	0.917	0.576
best buy	0.600	0.242	0.458	0.600
best chance	0.762	0.344	0.762	0.733
best efforts	0.963	0.358	0.963	0.857
best friend	0.958	0.322	0.958	0.917
best interests	0.926	0.192	0.926	0.727
best man	0.905	0.434	0.905	0.815
best part	1.000	0.358	1.000	0.303
best player	0.792	0.642	0.792	0.296
best practice	0.889	0.584	0.889	0.867
best seller	0.429	0.500	0.429	0.300
best thing	0.958	0.428	0.958	0.667
best way	0.952	0.620	0.952	0.639
best wishes	1.000	0.482	1.000	0.667
beta male	-0.542	-0.206	-0.542	-0.200
beta test	-0.259	-0.344	-0.259	0.133
better believe	0.571	0.678	0.250	0.571
better half	0.958	0.172	0.958	0.600
better off	0.583	-0.034	0.250	0.583
better still	0.625	0.036	0.625	0.200
beyond repair	-0.708	-0.130	-0.708	-0.583
bidding war	-0.667	-0.166	-0.667	-0.030
big apple	0.370	0.214	0.370	0.030
big band	0.833	0.440	0.833	0.000
big business	-0.500	0.600	-0.500	-0.375
big city	-0.278	0.276	-0.278	0.091
big daddy	0.583	0.130	0.583	0.250
big data	0.306	0.444	-0.042	0.306
big day	0.905	0.376	0.905	0.111
big fat	-0.542	-0.206	-0.542	-0.194
big fish	-0.111	0.354	0.048	-0.111
big house	0.286	0.414	0.286	0.194
big issue	0.030	-0.124	0.000	0.030
big league	0.407	0.548	0.407	0.148
big man	0.250	0.400	0.250	0.111
big money	-0.429	0.406	-0.429	-0.185
big mouth	-0.636	-0.032	-0.111	-0.636
big part	0.444	0.406	0.444	0.273
big picture	0.333	0.260	0.333	0.250
big problem	-0.267	-0.230	-0.208	-0.267
big rig	-0.292	0.138	-0.292	0.033
big sister	0.952	0.222	0.952	0.630
big smoke	-0.300	-0.034	-0.125	-0.300
big surprise	0.556	0.162	0.556	0.061
big tent	0.714	0.226	0.714	0.250
big thing	0.143	0.166	0.143	0.000
big time	0.542	0.226	0.542	0.030
big up	0.958	0.130	0.958	0.051
big year	0.167	0.134	0.167	0.061
bill as	0.030	-0.084	0.000	0.030
binge eating	-0.667	-0.032	-0.667	-0.333
biological father	0.833	0.334	0.833	0.528
bipolar disorder	-0.333	-0.334	-0.333	-0.111
bird feeder	0.833	-0.034	0.833	0.083
birth certificate	0.788	0.276	0.083	0.788
birth rate	0.208	-0.108	0.208	0.139
birthday cake	1.000	0.180	1.000	0.152
birthday card	0.958	0.222	0.958	0.545
birthday gift	0.952	0.466	0.952	0.303
birthday party	1.000	0.452	1.000	0.067
birthday present	1.000	0.226	1.000	0.606
bit off	-0.571	-0.322	-0.571	-0.250
bite at	-0.542	-0.242	-0.542	-0.407
bite into	0.238	-0.388	0.238	-0.037
bite me	-1.000	0.020	-1.000	-0.889
bite off	-0.556	-0.066	-0.556	-0.194
bitter end	-0.667	-0.112	-0.667	-0.033
black bear	0.167	0.040	0.167	0.083
black box	-0.370	-0.118	-0.370	-0.333
black cat	-0.407	-0.200	-0.125	-0.407
black community	0.619	-0.354	0.619	0.000
black death	-1.000	-0.428	-1.000	-0.042
black eye	-0.694	-0.434	-0.593	-0.694
black flag	-0.667	-0.300	-0.667	-0.606
black hair	0.037	-0.194	0.037	0.033
black hole	-0.889	-0.500	-0.889	-0.100
black ice	-1.000	-0.124	-1.000	-0.233
black knight	-0.515	-0.138	-0.458	-0.515
black leather	-0.625	-0.032	-0.625	0.091
black magic	-0.889	0.206	-0.857	-0.889
black man	0.143	-0.178	0.143	0.000
black market	-0.933	-0.276	-0.667	-0.933
black ops	-0.727	-0.032	-0.630	-0.727
black out	-0.417	-0.344	-0.389	-0.417
black panther	0.389	0.154	0.389	0.056
black people	0.000	0.102	0.000	0.000
black plague	-1.000	-0.452	-1.000	-0.926
black power	0.667	0.034	0.667	0.048
black pudding	-0.067	-0.276	0.048	-0.067
black sheep	-0.606	-0.042	-0.556	-0.606
black students	-0.030	-0.218	0.000	-0.030
black swan	-0.083	0.130	-0.083	0.000
black widow	-1.000	-0.434	-1.000	-0.697
black women	0.571	0.034	0.571	0.000
blah blah	-0.278	-0.500	-0.278	-0.278
blame game	-0.667	-0.178	-0.542	-0.667
blast off	0.250	-0.138	0.250	0.067
bleed out	-0.762	-0.452	-0.762	-0.167
bleeding heart	0.810	-0.380	0.810	0.455
blend in	0.292	-0.200	0.292	0.121
bless you	0.963	0.194	0.963	0.606
blind date	0.857	-0.290	0.857	-0.121
blind eye	-0.576	-0.408	-0.524	-0.576
blind man	0.208	-0.656	0.208	0.000
blind person	0.333	-0.484	0.333	0.091
blind spot	-0.083	-0.300	-0.083	0.000
block in	-0.500	0.000	-0.500	-0.139
block off	-0.333	-0.334	-0.333	0.033
block out	-0.333	-0.066	-0.333	0.000
block party	1.000	-0.206	1.000	0.152
blood bath	-0.958	-0.072	-0.958	-0.667
blood clot	-0.630	-0.448	-0.630	-0.067
blood clotting	-0.125	-0.186	-0.125	0.000
blood money	-1.000	0.000	-0.958	-1.000
blood orange	0.375	-0.266	0.375	0.061
blood pressure	0.185	-0.206	0.000	0.185
blood red	-0.500	-0.290	-0.500	-0.091
blood sugar	0.037	-0.260	0.000	0.037
blood test	-0.667	0.000	-0.667	0.576
blood transfusion	0.583	-0.166	0.583	0.133
bloody hell	-0.741	0.074	-0.500	-0.741
bloody mary	0.000	-0.370	0.000	0.000
bloody nose	-0.611	-0.124	-0.611	-0.152
bloody well	-0.545	0.242	-0.333	-0.545
blow away	0.333	-0.142	0.333	-0.056
blow dry	0.125	-0.226	0.125	0.091
blow it	-0.619	-0.138	-0.619	-0.545
blow out	-0.143	-0.260	-0.143	-0.091
blow up	-0.667	0.034	-0.667	-0.500
blue devils	-0.524	-0.104	-0.524	0.000
blue moon	0.333	0.100	0.333	0.000
blue sky	1.000	0.034	1.000	0.133
blurt out	-0.333	-0.370	0.286	-0.333
boa constrictor	-0.667	0.218	-0.667	-0.273
board certified	0.900	0.520	0.250	0.900
board game	0.810	-0.065	0.810	0.222
board meeting	0.545	0.370	-0.238	0.545
bode well	0.857	-0.100	0.857	0.600
bodily harm	-0.857	-0.166	-0.857	-0.767
body bag	-0.952	0.230	-0.952	-0.583
body count	-0.750	-0.142	-0.750	-0.733
body hair	-0.083	-0.172	-0.083	0.028
body type	0.000	-0.276	0.000	0.000
body weight	0.000	0.242	0.000	0.000
bogged down	-0.571	-0.500	-0.571	-0.182
boil down	-0.143	-0.266	-0.143	-0.067
boiled egg	0.139	-0.290	0.056	0.139
boiler room	-0.571	0.200	-0.571	-0.519
boiling hot	0.889	-0.068	0.889	0.083
bomb threat	-1.000	-0.310	-1.000	-1.000
bon appetit	0.810	0.074	0.810	0.133
boo hoo	-0.259	-0.322	0.208	-0.259
boob job	-0.556	-0.036	-0.556	-0.125
book club	0.958	-0.096	0.958	0.556
book fair	0.917	0.180	0.917	0.767
book out	-0.030	-0.366	0.000	-0.030
book review	0.515	-0.164	0.292	0.515
book signing	0.857	0.138	0.857	0.567
boot camp	-0.381	0.146	-0.381	0.273
border patrol	-0.708	0.166	-0.708	0.556
born again	0.667	-0.158	0.667	0.545
borrowed time	-0.083	-0.448	0.000	-0.083
bother with	0.190	-0.242	0.190	-0.111
bottom feeder	-0.833	-0.358	-0.833	-0.667
bottomless pit	-0.593	-0.308	-0.593	-0.121
bounce off	0.857	-0.334	0.857	0.037
bounty hunter	-0.533	0.142	-0.500	-0.533
bow down	0.167	-0.462	0.167	-0.100
bow out	-0.083	-0.516	-0.083	0.000
bowling green	0.000	0.100	0.000	0.000
box office	0.194	0.064	0.000	0.194
box score	0.074	0.034	0.000	0.074
boxed in	-0.571	-0.178	-0.571	-0.133
brain damage	-0.958	-0.584	-0.958	-0.485
brain dead	-0.958	-1.000	-0.958	-0.485
brain drain	-0.619	-0.276	-0.619	-0.111
brain injury	-0.750	-0.484	-0.750	-0.083
brain surgery	0.778	-0.226	-0.583	0.778
brain tumor	-0.917	-0.258	-0.917	0.074
brand loyalty	0.556	0.408	0.556	0.472
brand name	0.593	0.324	0.190	0.593
brand new	0.500	0.540	0.500	0.182
brass knuckles	-0.818	0.034	-0.762	-0.818
break away	-0.333	-0.242	-0.333	-0.042
break down	-0.417	-0.578	-0.417	-0.185
break even	0.000	-0.322	0.000	0.000
break for	0.333	-0.178	0.333	-0.042
break from	0.028	-0.166	0.000	0.028
break in	-0.815	-0.104	-0.708	-0.815
break into	-0.750	0.124	-0.750	-0.733
break loose	0.128	0.036	-0.083	0.128
break off	-0.381	-0.172	-0.381	-0.133
break out	-0.222	-0.226	-0.222	-0.030
break up	-0.667	-0.452	-0.667	-0.394
break with	-0.481	-0.296	-0.481	-0.125
breakfast food	0.889	0.032	0.889	0.194
breakfast time	0.875	0.034	0.875	0.139
breaking point	-0.500	-0.206	-0.500	-0.394
breast cancer	0.952	-0.408	0.952	0.200
breathe in	0.333	0.034	0.333	0.139
breathing in	-0.030	0.206	0.000	-0.030
breathing room	0.875	-0.162	0.875	0.033
breeding ground	-0.458	0.172	-0.458	-0.200
brick in	-0.556	-0.068	-0.556	-0.091
bridal shower	0.926	0.388	0.926	0.167
brief moment	0.067	-0.166	0.000	0.067
brief time	0.037	-0.142	0.037	-0.033
bright future	0.952	0.646	0.952	0.083
bright green	0.458	-0.066	0.458	0.000
bright light	0.762	0.344	0.762	0.111
bright lights	0.556	0.334	0.556	0.121
bright orange	0.500	-0.034	0.500	0.037
bright side	0.952	0.334	0.952	0.303
bright spot	1.000	0.104	1.000	0.455
bright yellow	0.857	0.038	0.857	0.030
brighten up	1.000	0.424	1.000	0.250
bring down	-0.542	-0.066	-0.542	-0.533
bring home	0.708	0.130	0.708	0.139
bring together	0.917	0.186	0.917	0.697
bringing up	0.417	0.166	0.417	0.091
broad brush	-0.190	0.134	-0.190	0.061
broke out	-0.375	-0.326	-0.375	0.000
broken dreams	-0.625	-0.388	-0.625	-0.278
broken heart	0.600	-0.666	0.600	0.200
broken in	0.250	-0.276	0.250	-0.152
broken record	-0.381	-0.536	-0.381	-0.139
broken up	-0.524	-0.380	-0.524	-0.242
brotherly love	1.000	0.042	1.000	0.900
brown sugar	0.571	-0.096	0.571	0.051
brush off	-0.667	-0.434	-0.667	-0.500
brush up	0.286	-0.142	0.286	0.139
brute force	-0.750	0.072	-0.750	-0.364
bubble bath	0.792	-0.062	0.792	0.083
bubonic plague	-1.000	-0.376	-1.000	0.000
bucket list	0.667	-0.112	0.667	0.182
buckle down	0.667	-0.036	-0.083	0.667
bug out	-0.292	-0.296	-0.292	-0.194
bug spray	-0.889	-0.130	-0.889	0.182
build bridges	0.958	0.136	0.958	0.806
build on	0.875	0.552	0.875	0.444
bummed out	-0.519	-0.300	-0.519	-0.200
bump into	0.583	-0.214	0.583	-0.030
bump up	0.333	0.104	0.333	-0.030
burger king	0.286	0.222	0.286	0.152
burn bridges	-0.741	0.162	-0.741	-0.697
burn down	-0.933	-0.376	-0.762	-0.933
burn in	-0.200	-0.032	-0.143	-0.200
burn off	-0.250	-0.194	-0.250	-0.083
burn out	-0.571	-0.130	-0.571	-0.273
burn through	-0.429	-0.194	-0.429	-0.364
burn up	-0.381	-0.300	-0.381	0.000
burned out	-0.667	-0.500	-0.667	-0.259
burnt out	-0.667	-0.642	-0.667	-0.074
burst in	-0.436	-0.064	-0.375	-0.436
burst into	0.625	-0.142	0.625	0.000
burst out	0.370	-0.290	0.370	-0.100
bus driver	0.636	0.104	0.476	0.636
business card	0.361	0.408	-0.286	0.361
business center	0.625	0.366	0.000	0.625
business class	-0.524	0.466	-0.524	0.152
business day	0.306	0.414	-0.286	0.306
business expense	0.121	0.308	0.000	0.121
business hours	0.455	0.266	0.000	0.455
business partner	0.704	0.742	0.500	0.704
business plan	0.667	0.242	0.000	0.667
bust out	-0.667	-0.130	0.238	-0.667
but for	-0.037	-0.074	-0.037	0.000
but good	0.444	0.162	0.444	0.273
butt in	-0.667	-0.134	-0.667	-0.633
butt naked	-0.444	-0.552	-0.286	-0.444
butt on	-0.370	-0.300	-0.370	-0.242
butt out	-0.667	-0.428	-0.667	-0.300
butter knife	0.182	0.000	0.000	0.182
butter tart	0.875	-0.142	0.875	0.083
butterfly effect	0.407	0.276	0.407	0.000
buy back	0.152	-0.104	0.000	0.152
buy it	0.091	-0.072	0.000	0.091
